City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
348,muros,90,ES,1563513029,93,42.77,-9.06,64.99,5.82
349,marathon,38,CA,1563513178,97,48.72,-86.38,58.97,9.84
350,miami,20,US,1563512947,70,25.77,-80.19,84.99,4.7
351,narsaq,35,GL,1563512991,81,60.91,-46.05,48.2,5.82
352,harper,1,US,1563513246,61,30.3,-99.24,82.4,9.17
353,port augusta,0,AU,1563513246,32,-32.49,137.76,68.0,16.11
354,coolum beach,0,AU,1563513140,55,-26.53,153.09,69.01,4.38
355,mopipi,0,BW,1563513246,28,-21.2,24.86,54.83,2.82
356,sakaiminato,90,JP,1563513246,69,35.55,133.23,82.4,3.36
357,washington,20,US,1563512973,88,38.9,-77.04,80.01,3.38
358,khorixas,0,NA,1563513247,23,-20.37,14.96,57.89,6.49
359,qena,0,EG,1563513247,40,26.16,32.72,86.0,6.04
360,petropavlovsk-kamchatskiy,20,RU,1563512826,44,53.05,158.65,80.6,8.95
361,ribeira grande,0,PT,1563512989,88,38.52,-28.7,72.83,15.12
362,sambava,11,MG,1563513247,63,-14.27,50.17,73.55,4.0
363,inirida,93,CO,1563513123,97,3.87,-67.92,72.29,0.4
364,finote selam,81,ET,1563513248,84,10.7,37.27,64.91,1.95
365,udachnyy,40,RU,1563513093,38,66.42,112.4,59.0,11.18
366,leh,100,IN,1563513089,52,34.16,77.58,45.65,6.64
367,bonfim,0,BR,1563513248,71,-20.33,-44.24,55.4,4.7
368,pingliang,100,CN,1563513248,62,35.54,106.68,68.69,6.78
369,esmeraldas,0,BR,1563513248,66,-19.76,-44.31,55.4,9.17
370,padang,96,ID,1563512998,80,-0.92,100.36,80.93,5.19
371,maraa,77,BR,1563513248,96,-1.83,-65.37,70.67,1.07
372,noyabrsk,0,RU,1563513249,49,63.2,75.45,83.63,1.95
373,severodvinsk,0,RU,1563513249,67,64.56,39.82,60.8,8.95
374,moroni,20,GR,1563513249,60,35.09,24.92,80.01,5.82
375,menongue,0,AO,1563513249,49,-14.66,17.68,47.81,3.67
376,kernersville,1,US,1563513140,88,36.12,-80.07,78.01,3.87
